,1000 Punktów,2000 Punktów,3000 Punktów,4000 Punktów,5000 Punktów,6000 Punktów,7000 Punktów,8000 Punktów,9000 Punktów,10000 Punktów
Graham,0.145,0.314,0.448,0.794,0.8,1.026,1.198,1.362,1.634,1.813
Jarvis,0.153,0.468,0.542,1.341,1.874,1.547,1.83,2.31,2.715,2.443
Przyrostowa,0.047,0.074,0.133,0.179,0.233,0.281,0.373,0.362,0.462,0.518
Górna i dolna otoczka,0.048,0.084,0.155,0.2,0.263,0.328,0.349,0.342,0.465,0.489
QuickHull,0.016,0.037,0.057,0.067,0.079,0.099,0.139,0.117,0.165,0.174
Dziel i zwyciężaj,0.042,0.07,0.15,0.135,0.218,0.281,0.309,0.282,0.416,0.476
Chan_algorithm,0.071,0.221,0.381,0.556,0.653,0.733,0.945,0.988,1.36,1.376
